first_seen,last_seen,ip_address,category,attacks_count
2018-07-20 02:48:22,2018-07-20 02:48:22,190.38.172.75,MS-DS Attack,1
2018-07-20 01:12:19,2018-07-20 01:12:19,190.37.153.43,MS-DS Attack,1
2018-07-20 02:00:52,2018-07-20 02:00:52,190.36.78.130,MS-DS Attack,1
2018-07-20 01:58:17,2018-07-20 01:58:17,14.233.165.37,MS-DS Attack,1
2018-07-20 01:07:33,2018-07-20 01:07:33,190.204.66.24,MS-DS Attack,1
2018-07-20 03:10:21,2018-07-20 03:10:21,190.204.197.226,MS-DS Attack,1
2018-07-20 02:28:12,2018-07-20 02:28:12,190.203.53.59,MS-DS Attack,1
2018-07-20 04:46:57,2018-07-20 04:46:57,190.202.244.185,MS-DS Attack,1
2018-07-20 00:38:35,2018-07-20 00:38:35,190.202.212.36,MS-DS Attack,1
2018-07-20 03:37:35,2018-07-20 03:37:35,190.201.97.162,MS-DS Attack,1
2018-07-20 00:46:42,2018-07-20 00:46:42,190.201.233.82,MS-DS Attack,1
2018-07-20 01:06:39,2018-07-20 01:06:39,190.201.11.172,MS-DS Attack,1
2018-07-20 05:44:54,2018-07-20 05:44:54,190.200.79.141,MS-DS Attack,1
2018-07-20 00:07:07,2018-07-20 00:07:07,190.200.43.43,MS-DS Attack,1
2018-07-20 01:15:10,2018-07-20 01:15:10,190.200.124.45,MS-DS Attack,1
2018-07-20 04:37:52,2018-07-20 04:37:52,14.182.72.106,MS-DS Attack,1
2018-07-20 00:57:48,2018-07-20 00:57:48,190.198.47.229,MS-DS Attack,1
2018-07-20 04:27:07,2018-07-20 04:27:07,190.198.26.214,MS-DS Attack,1
2018-07-20 03:04:11,2018-07-20 03:04:11,190.139.3.187,MS-DS Attack,1
2018-07-20 00:58:03,2018-07-20 00:58:03,189.82.82.183,MS-DS Attack,1
2018-07-20 02:08:11,2018-07-20 02:08:11,189.157.47.244,MS-DS Attack,1
2018-07-20 04:14:43,2018-07-20 04:14:43,141.196.204.135,Unclassified,1
2018-07-20 03:39:36,2018-07-20 03:39:36,187.66.100.83,MS-DS Attack,1
2018-07-20 01:47:32,2018-07-20 01:47:32,187.209.141.165,MS-DS Attack,1
2018-07-20 03:42:28,2018-07-20 03:42:28,187.200.33.96,MS-DS Attack,1
2018-07-20 00:01:51,2018-07-20 00:01:51,187.192.30.25,MS-DS Attack,1
2018-07-20 00:05:31,2018-07-20 00:05:31,187.147.34.49,MS-DS Attack,1
2018-07-20 02:17:13,2018-07-20 02:17:13,187.139.50.94,MS-DS Attack,1
2018-07-20 05:55:30,2018-07-20 05:55:30,187.132.82.37,MS-DS Attack,1
2018-07-20 04:22:28,2018-07-20 04:22:28,187.114.54.27,MS-DS Attack,1
2018-07-20 05:00:31,2018-07-20 05:00:31,46.34.185.86,Proxy Scan,1
2018-07-20 03:47:34,2018-07-20 03:47:34,186.93.158.19,MS-DS Attack,1
2018-07-20 04:58:50,2018-07-20 04:58:50,186.92.17.38,MS-DS Attack,1
2018-07-20 00:32:53,2018-07-20 00:32:53,186.91.173.49,MS-DS Attack,1
2018-07-20 00:27:58,2018-07-20 00:27:58,186.90.185.120,MS-DS Attack,1
2018-07-20 02:01:16,2018-07-20 02:01:16,186.89.24.45,MS-DS Attack,1
2018-07-20 01:34:41,2018-07-20 01:34:41,186.89.157.81,MS-DS Attack,1
2018-07-20 02:37:43,2018-07-20 02:37:43,186.89.128.236,MS-DS Attack,1
2018-07-20 04:28:45,2018-07-20 04:28:45,186.88.80.226,MS-DS Attack,1
2018-07-20 03:23:45,2018-07-20 03:23:45,45.234.222.253,Telnet,1
2018-07-20 04:41:01,2018-07-20 04:41:01,138.68.61.142,SSH Brute Force,1
2018-07-20 00:54:38,2018-07-20 00:54:38,186.185.26.211,MS-DS Attack,1
2018-07-20 00:40:27,2018-07-20 00:40:27,41.233.226.229,Telnet,1
2018-07-20 05:44:06,2018-07-20 05:44:06,186.10.51.127,MS-DS Attack,1
2018-07-20 03:25:43,2018-07-20 03:25:43,185.18.60.117,Telnet,1
2018-07-20 04:25:13,2018-07-20 04:25:13,185.126.176.26,MS-DS Attack,1
2018-07-20 04:27:18,2018-07-20 04:27:18,185.120.221.12,MS-DS Attack,1
2018-07-20 03:07:07,2018-07-20 03:07:07,124.9.233.89,MS-DS Attack,1
2018-07-20 03:39:42,2018-07-20 03:39:42,31.43.131.241,FTP,1
2018-07-20 01:07:36,2018-07-20 01:07:36,185.119.186.170,Proxy Scan,1
2018-07-20 01:19:09,2018-07-20 01:19:09,185.11.29.198,MS-DS Attack,1
2018-07-20 05:00:30,2018-07-20 05:00:30,183.89.204.44,MS-DS Attack,1
2018-07-20 00:50:20,2018-07-20 00:50:20,183.153.3.37,MS-DS Attack,1
2018-07-20 01:27:44,2018-07-20 01:27:44,182.93.88.231,MS-DS Attack,1
2018-07-20 03:54:06,2018-07-20 03:54:06,182.85.162.232,MS-DS Attack,1
2018-07-20 02:57:52,2018-07-20 02:57:52,182.50.22.131,MS-DS Attack,1
2018-07-20 04:09:50,2018-07-20 04:09:50,181.90.248.72,MS-DS Attack,1
2018-07-19 23:57:12,2018-07-19 23:57:12,60.216.150.244,Telnet,1
2018-07-19 19:36:07,2018-07-19 19:36:07,88.236.181.107,Proxy Scan,1
2018-07-20 03:19:08,2018-07-20 03:19:08,180.251.91.227,MS-DS Attack,1
2018-07-20 04:19:24,2018-07-20 04:19:24,180.251.15.3,MS-DS Attack,1
2018-07-19 18:14:37,2018-07-19 18:14:37,85.237.31.37,Unclassified,1
2018-07-20 02:21:00,2018-07-20 02:21:00,180.251.124.100,MS-DS Attack,1
2018-07-19 22:21:37,2018-07-19 22:21:37,89.214.216.22,Unclassified,1
2018-07-19 18:54:55,2018-07-19 18:54:55,85.22.84.95,Telnet,1
2018-07-20 02:07:45,2018-07-20 02:07:45,180.249.159.254,MS-DS Attack,1
2018-07-19 23:40:35,2018-07-19 23:40:35,78.129.23.159,Proxy Scan,1
2018-07-19 21:52:46,2018-07-19 21:52:46,79.72.215.106,Telnet,1
2018-07-20 05:46:11,2018-07-20 05:46:11,180.248.46.11,MS-DS Attack,1
2018-07-20 05:19:11,2018-07-20 05:19:11,180.248.219.45,MS-DS Attack,1
2018-07-19 21:21:42,2018-07-19 21:21:42,89.214.197.105,Unclassified,1
2018-07-19 23:55:37,2018-07-19 23:55:37,62.63.36.102,Telnet,1
2018-07-20 05:40:37,2018-07-20 05:40:37,180.246.5.229,MS-DS Attack,1
2018-07-19 20:27:48,2018-07-19 20:27:48,60.242.93.106,SSH Brute Force,1
2018-07-20 01:16:42,2018-07-20 01:16:42,180.246.246.119,MS-DS Attack,1
2018-07-19 21:27:17,2018-07-19 21:27:17,87.1.100.138,Telnet,1
2018-07-19 23:40:20,2018-07-19 23:40:20,95.158.226.137,Proxy Scan,1
2018-07-19 23:03:48,2018-07-19 23:03:48,83.4.9.73,Unclassified,1
2018-07-19 19:22:30,2018-07-19 19:22:30,83.184.10.14,Unclassified,1
2018-07-20 05:16:12,2018-07-20 05:16:12,180.245.118.187,MS-DS Attack,1
2018-07-19 18:43:43,2018-07-19 18:43:43,90.233.128.96,Unclassified,1
2018-07-19 20:26:29,2018-07-19 20:26:29,83.223.249.120,Unclassified,1
2018-07-19 23:59:46,2018-07-19 23:59:46,82.52.117.215,Unclassified,1
2018-07-20 00:09:09,2018-07-20 00:09:09,180.244.66.160,MS-DS Attack,1
2018-07-19 20:46:54,2018-07-19 20:46:54,5.80.112.193,Telnet,1
2018-07-20 04:36:55,2018-07-20 04:36:55,180.243.177.49,MS-DS Attack,1
2018-07-20 05:39:40,2018-07-20 05:39:40,180.241.9.83,MS-DS Attack,1
2018-07-19 21:54:11,2018-07-19 21:54:11,79.176.129.32,Telnet,1
2018-07-19 18:52:09,2018-07-19 18:52:09,94.16.87.78,Telnet,1
2018-07-19 20:33:20,2018-07-19 20:33:20,91.224.85.171,Telnet,1
2018-07-19 20:56:49,2018-07-19 20:56:49,80.44.214.225,Proxy Scan,1
2018-07-20 00:53:58,2018-07-20 00:53:58,179.83.18.64,MS-DS Attack,1
2018-07-19 19:14:00,2018-07-19 19:14:00,89.133.168.71,Unclassified,1
2018-07-19 18:27:43,2018-07-19 18:27:43,95.69.119.33,Unclassified,1
2018-07-19 19:37:40,2018-07-19 19:37:40,94.16.87.50,Telnet,1
2018-07-19 23:06:41,2018-07-19 23:06:41,92.112.23.239,Telnet,1
2018-07-20 00:56:26,2018-07-20 00:56:26,179.214.59.185,Proxy Scan,1
2018-07-19 23:11:06,2018-07-19 23:11:06,91.131.163.252,Unclassified,1
2018-07-19 20:42:33,2018-07-19 20:42:33,83.188.153.122,Unclassified,1
2018-07-19 22:55:24,2018-07-19 22:55:24,93.118.167.120,Telnet,1
2018-07-20 01:16:01,2018-07-20 01:16:01,179.186.250.113,MS-DS Attack,1
2018-07-19 21:15:57,2018-07-19 21:15:57,61.224.168.31,Unclassified,1
2018-07-19 22:30:20,2018-07-19 22:30:20,88.246.89.95,Proxy Scan,1
2018-07-19 20:46:30,2018-07-19 20:46:30,87.120.145.84,Proxy Scan,1
2018-07-20 05:36:42,2018-07-20 05:36:42,179.186.163.63,MS-DS Attack,1
2018-07-20 02:17:44,2018-07-20 02:17:44,179.184.64.99,MS-DS Attack,1
2018-07-20 03:35:42,2018-07-20 03:35:42,179.182.86.201,MS-DS Attack,1
2018-07-19 19:16:33,2018-07-19 19:16:33,63.160.200.110,Unclassified,1
2018-07-19 18:15:42,2018-07-19 18:15:42,94.50.120.81,Telnet,1
2018-07-19 23:44:17,2018-07-19 23:44:17,5.189.226.100,SIP,1
2018-07-20 04:32:43,2018-07-20 04:32:43,179.182.115.100,MS-DS Attack,1
2018-07-19 23:05:42,2018-07-19 23:05:42,83.184.85.211,Unclassified,1
2018-07-19 20:32:58,2018-07-19 20:32:58,95.15.204.147,Telnet,1
2018-07-19 21:23:32,2018-07-19 21:23:32,83.228.71.2,Proxy Scan,1
2018-07-19 23:46:07,2018-07-19 23:46:07,59.51.238.157,Telnet,1
2018-07-20 01:15:58,2018-07-20 01:15:58,178.46.52.167,MS-DS Attack,1
2018-07-19 21:06:46,2018-07-19 21:06:46,5.140.246.210,Telnet,1
2018-07-19 20:58:22,2018-07-19 20:58:22,85.238.119.203,Proxy Scan,1
2018-07-19 19:14:30,2018-07-19 19:14:30,69.167.39.150,Unclassified,1
2018-07-20 02:18:03,2018-07-20 02:18:03,178.218.206.202,MS-DS Attack,1
2018-07-20 03:16:27,2018-07-20 03:16:27,221.15.29.218,Telnet,1
2018-07-20 00:59:18,2018-07-20 00:59:18,178.204.84.181,MS-DS Attack,1
2018-07-19 22:59:34,2018-07-19 22:59:34,49.85.17.190,Unclassified,1
2018-07-19 19:22:55,2018-07-19 19:22:55,49.71.249.30,Unclassified,1
2018-07-19 23:29:14,2018-07-19 23:29:14,85.60.79.153,Telnet,1
2018-07-20 00:09:09,2018-07-20 00:09:09,178.141.41.98,MS-DS Attack,1
2018-07-19 20:53:32,2018-07-19 20:53:32,84.240.50.159,Telnet,1
2018-07-19 23:23:09,2018-07-19 23:23:09,5.202.76.252,Proxy Scan,1
2018-07-20 05:39:17,2018-07-20 05:39:17,178.137.40.154,MS-DS Attack,1
2018-07-20 02:11:33,2018-07-20 02:11:33,178.128.147.152,MS-DS Attack,1
2018-07-19 20:47:18,2018-07-19 20:47:18,59.25.132.45,Unclassified,1
2018-07-19 22:26:54,2018-07-19 22:26:54,86.106.190.157,Telnet,1
2018-07-19 23:57:04,2018-07-19 23:57:04,5.27.139.121,Unclassified,1
2018-07-19 18:12:34,2018-07-19 18:12:34,78.168.223.170,Telnet,1
2018-07-19 23:39:54,2018-07-19 23:39:54,93.171.61.150,Telnet,1
2018-07-19 19:41:35,2018-07-19 19:41:35,79.50.158.136,Telnet,1
2018-07-20 05:10:52,2018-07-20 05:10:52,177.43.15.46,MS-DS Attack,1
2018-07-19 19:49:31,2018-07-19 19:49:31,77.217.160.221,Unclassified,1
2018-07-20 00:01:54,2018-07-20 00:01:54,177.249.71.145,MS-DS Attack,1
2018-07-19 22:46:13,2018-07-19 22:46:13,89.236.93.118,Telnet,1
2018-07-19 19:02:23,2018-07-19 19:02:23,5.25.21.128,Unclassified,1
2018-07-19 23:43:30,2018-07-19 23:43:30,80.116.18.94,Telnet,1
2018-07-19 19:38:19,2018-07-19 19:38:19,81.131.247.43,Telnet,1
2018-07-20 03:22:03,2018-07-20 03:22:03,177.223.51.171,MS-DS Attack,1
2018-07-19 20:21:52,2018-07-19 20:21:52,5.27.51.64,Unclassified,1
2018-07-19 19:11:39,2018-07-19 19:11:39,95.245.109.233,Proxy Scan,1
2018-07-19 18:17:10,2018-07-19 18:17:10,93.63.88.179,Telnet,1
2018-07-20 05:34:21,2018-07-20 05:34:21,177.21.197.175,MS-DS Attack,1
2018-07-19 23:55:31,2018-07-19 23:55:31,91.98.249.115,Telnet,1
2018-07-19 23:24:44,2018-07-19 23:24:44,94.50.120.191,Telnet,1
2018-07-19 18:01:58,2018-07-19 18:01:58,222.182.225.187,MS-SQL Attack,1
2018-07-19 21:38:56,2018-07-19 21:38:56,79.36.86.152,Proxy Scan,1
2018-07-19 20:19:32,2018-07-19 20:19:32,59.2.25.44,Telnet,1
2018-07-20 00:55:08,2018-07-20 00:55:08,177.134.86.134,MS-DS Attack,1
2018-07-20 02:45:55,2018-07-20 02:45:55,177.106.62.236,MS-DS Attack,1
2018-07-19 22:04:19,2018-07-19 22:04:19,77.53.229.21,Unclassified,1
2018-07-20 00:46:51,2018-07-20 00:46:51,219.79.233.83,Unclassified,1
2018-07-19 21:31:03,2018-07-19 21:31:03,221.216.80.107,Unclassified,1
2018-07-19 20:23:56,2018-07-19 20:23:56,58.153.239.235,Unclassified,1
2018-07-19 18:49:13,2018-07-19 18:49:13,84.254.48.221,Proxy Scan,1
2018-07-19 20:45:17,2018-07-19 20:45:17,70.164.37.208,Telnet,1
2018-07-19 23:37:14,2018-07-19 23:37:14,58.153.152.76,Telnet,1
2018-07-20 00:35:36,2018-07-20 00:35:36,176.216.150.222,MS-DS Attack,1
2018-07-19 18:38:07,2018-07-19 18:38:07,49.76.119.105,Unclassified,1
2018-07-20 00:53:23,2018-07-20 00:53:23,176.118.145.237,MS-DS Attack,1
2018-07-19 21:05:26,2018-07-19 21:05:26,95.82.47.60,Proxy Scan,1
2018-07-19 22:13:28,2018-07-19 22:13:28,60.3.34.161,Telnet,1
2018-07-19 21:46:38,2018-07-19 21:46:38,91.217.198.79,Proxy Scan,1
2018-07-19 21:23:27,2018-07-19 21:23:27,91.200.27.117,Telnet,1
2018-07-20 03:55:07,2018-07-20 03:55:07,175.180.186.85,MS-DS Attack,1
2018-07-19 23:28:37,2018-07-19 23:28:37,82.79.188.249,Telnet,1
2018-07-19 23:13:42,2018-07-19 23:13:42,94.41.91.225,Proxy Scan,1
2018-07-19 22:34:23,2018-07-19 22:34:23,89.133.63.73,Proxy Scan,1
2018-07-19 20:21:10,2018-07-19 20:21:10,94.51.121.228,Telnet,1
2018-07-20 00:12:47,2018-07-20 00:12:47,173.249.46.243,MS-DS Attack,1
2018-07-19 18:55:21,2018-07-19 18:55:21,58.209.50.67,Telnet,1
2018-07-19 20:33:50,2018-07-19 20:33:50,95.69.72.89,Unclassified,1
2018-07-19 20:08:54,2018-07-19 20:08:54,83.223.250.252,Unclassified,1
2018-07-19 18:40:05,2018-07-19 18:40:05,90.95.28.191,Telnet,1
2018-07-20 01:16:34,2018-07-20 01:16:34,121.50.170.22,MySQL Attack,1
2018-07-19 22:15:58,2018-07-19 22:15:58,49.70.66.132,Unclassified,1
2018-07-19 22:55:59,2018-07-19 22:55:59,58.10.100.75,Unclassified,1
2018-07-20 04:05:04,2018-07-20 04:05:04,172.82.131.170,MS-DS Attack,1
2018-07-19 21:48:10,2018-07-19 21:48:10,94.74.191.11,Telnet,1
2018-07-19 20:05:11,2018-07-19 20:05:11,92.30.247.107,Proxy Scan,1
2018-07-20 05:27:39,2018-07-20 05:27:39,172.58.70.169,Unclassified,1
2018-07-19 23:08:21,2018-07-19 23:08:21,83.132.240.254,Unclassified,1
2018-07-19 23:26:33,2018-07-19 23:26:33,45.70.6.103,Telnet,1
2018-07-19 21:14:30,2018-07-19 21:14:30,92.9.46.240,Proxy Scan,1
2018-07-19 19:34:15,2018-07-19 19:34:15,5.40.162.177,Proxy Scan,1
2018-07-19 22:33:32,2018-07-19 22:33:32,5.31.22.160,RDP Attack,1
2018-07-19 21:00:51,2018-07-19 21:00:51,42.235.255.212,Telnet,1
2018-07-19 23:36:36,2018-07-19 23:36:36,93.125.96.126,FTP,1
2018-07-19 20:43:25,2018-07-19 20:43:25,41.237.41.45,Telnet,1
2018-07-19 18:52:45,2018-07-19 18:52:45,87.167.62.204,Unclassified,1
2018-07-20 05:59:19,2018-07-20 05:59:19,171.9.26.213,MS-DS Attack,1
2018-07-20 05:56:14,2018-07-20 05:56:14,171.248.189.191,MS-DS Attack,1
2018-07-19 19:07:04,2018-07-19 19:07:04,42.122.13.230,Telnet,1
2018-07-20 05:40:00,2018-07-20 05:40:00,171.247.49.57,MS-DS Attack,1
2018-07-19 19:26:01,2018-07-19 19:26:01,92.250.9.46,Unclassified,1
2018-07-19 22:22:48,2018-07-19 22:22:48,51.223.62.7,MS-SQL Attack,1
2018-07-20 02:33:42,2018-07-20 02:33:42,171.234.24.61,MS-DS Attack,1
2018-07-19 22:56:53,2018-07-19 22:56:53,83.224.154.135,Proxy Scan,1
2018-07-19 18:35:18,2018-07-19 18:35:18,5.25.14.149,Unclassified,1
2018-07-19 18:57:06,2018-07-19 18:57:06,94.177.127.195,Proxy Scan,1
2018-07-19 21:43:11,2018-07-19 21:43:11,42.119.26.75,Unclassified,1
2018-07-19 21:40:06,2018-07-19 21:40:06,45.74.144.3,Unclassified,1
2018-07-19 19:55:08,2018-07-19 19:55:08,39.67.17.61,Telnet,1
2018-07-19 18:52:10,2018-07-19 18:52:10,83.179.219.52,Unclassified,1
2018-07-20 03:02:20,2018-07-20 03:02:20,171.223.28.29,MS-DS Attack,1
2018-07-19 18:51:53,2018-07-19 18:51:53,84.247.147.114,Telnet,1
2018-07-20 00:06:05,2018-07-20 00:06:05,171.215.95.156,MS-DS Attack,1
2018-07-19 18:28:50,2018-07-19 18:28:50,68.173.242.250,Unclassified,1
2018-07-19 20:07:28,2018-07-19 20:07:28,84.95.36.9,Unclassified,1
2018-07-19 19:09:31,2018-07-19 19:09:31,83.179.213.69,Unclassified,1
2018-07-19 19:16:45,2018-07-19 19:16:45,62.210.71.206,SSH Brute Force,1
2018-07-19 19:12:08,2018-07-19 19:12:08,87.204.242.158,RDP Attack,1
2018-07-19 18:41:57,2018-07-19 18:41:57,41.45.248.138,Telnet,1
2018-07-19 21:02:47,2018-07-19 21:02:47,58.54.113.110,Unclassified,1
2018-07-19 18:14:08,2018-07-19 18:14:08,82.163.194.86,RDP Attack,1
2018-07-19 19:53:22,2018-07-19 19:53:22,86.120.44.97,Telnet,1
2018-07-19 21:59:30,2018-07-19 21:59:30,202.93.247.6,Telnet,1
2018-07-19 18:44:57,2018-07-19 18:44:57,83.26.155.172,RDP Attack,1
2018-07-19 18:31:20,2018-07-19 18:31:20,91.131.207.150,Unclassified,1
2018-07-19 22:13:52,2018-07-19 22:13:52,41.246.90.246,Unclassified,1
2018-07-19 18:11:23,2018-07-19 18:11:23,61.7.175.66,Proxy Scan,1
2018-07-19 19:55:24,2018-07-19 19:55:24,62.97.39.41,Proxy Scan,1
2018-07-19 19:48:21,2018-07-19 19:48:21,37.79.155.53,Telnet,1
2018-07-19 19:14:08,2018-07-19 19:14:08,39.172.254.206,Telnet,1
2018-07-19 22:01:23,2018-07-19 22:01:23,201.69.119.70,Proxy Scan,1
2018-07-19 19:18:22,2018-07-19 19:18:22,36.68.253.120,Proxy Scan,1
2018-07-20 04:20:33,2018-07-20 04:20:33,166.131.174.36,MS-DS Attack,1
2018-07-19 21:55:52,2018-07-19 21:55:52,5.140.128.243,Telnet,1
2018-07-19 22:46:43,2018-07-19 22:46:43,41.236.54.168,Telnet,1
2018-07-19 21:07:20,2018-07-19 21:07:20,85.243.125.10,Proxy Scan,1
2018-07-20 03:59:46,2018-07-20 03:59:46,165.225.32.71,MS-DS Attack,1
2018-07-19 23:21:39,2018-07-19 23:21:39,39.67.96.152,Telnet,1
2018-07-19 23:50:50,2018-07-19 23:50:50,85.115.243.125,FTP,1
2018-07-19 20:06:29,2018-07-19 20:06:29,36.226.82.26,Telnet,1
2018-07-19 22:36:25,2018-07-19 22:36:25,37.79.167.75,Telnet,1
2018-07-19 23:57:46,2018-07-19 23:57:46,78.165.127.105,Proxy Scan,1
2018-07-19 21:54:43,2018-07-19 21:54:43,79.167.111.238,Telnet,1
2018-07-19 18:04:06,2018-07-19 18:04:06,41.46.92.98,Telnet,1
2018-07-19 20:53:00,2018-07-19 20:53:00,94.50.157.173,Telnet,1
2018-07-19 20:41:10,2018-07-19 20:41:10,90.140.244.202,Telnet,1
2018-07-19 18:26:10,2018-07-19 18:26:10,61.223.124.84,Telnet,1
2018-07-20 05:19:02,2018-07-20 05:19:02,157.48.19.54,MS-DS Attack,1
2018-07-20 05:09:50,2018-07-20 05:09:50,157.41.252.167,MS-DS Attack,1
2018-07-19 20:57:41,2018-07-19 20:57:41,39.67.112.73,Telnet,1
2018-07-20 05:15:05,2018-07-20 05:15:05,157.41.160.167,MS-DS Attack,1
2018-07-19 21:29:34,2018-07-19 21:29:34,39.73.45.94,Telnet,1
2018-07-20 05:46:45,2018-07-20 05:46:45,156.217.84.61,MS-DS Attack,1
2018-07-19 19:23:03,2018-07-19 19:23:03,83.252.253.16,Unclassified,1
2018-07-19 23:05:20,2018-07-19 23:05:20,45.71.230.156,Proxy Scan,1
2018-07-19 22:17:34,2018-07-19 22:17:34,93.178.78.223,Proxy Scan,1
2018-07-19 21:50:13,2018-07-19 21:50:13,41.46.130.70,SSH Brute Force,1
2018-07-20 04:00:00,2018-07-20 04:00:00,156.208.249.222,MS-DS Attack,1
2018-07-20 04:38:21,2018-07-20 04:38:21,156.205.225.147,MS-DS Attack,1
2018-07-19 18:27:47,2018-07-19 18:27:47,37.79.84.20,Telnet,1
2018-07-20 00:38:01,2018-07-20 00:38:01,1.55.239.87,MS-DS Attack,1
2018-07-20 01:34:51,2018-07-20 01:34:51,1.55.141.34,MS-DS Attack,1
2018-07-19 18:48:40,2018-07-19 18:48:40,70.45.141.160,Unclassified,1
2018-07-19 20:03:58,2018-07-19 20:03:58,37.215.76.10,SSH Brute Force,1
2018-07-19 20:59:07,2018-07-19 20:59:07,58.209.93.122,Telnet,1
2018-07-20 03:23:20,2018-07-20 03:23:20,153.212.126.181,MS-DS Attack,1
2018-07-19 20:31:04,2018-07-19 20:31:04,27.190.126.165,Telnet,1
2018-07-19 22:36:07,2018-07-19 22:36:07,79.66.53.87,Unclassified,1
2018-07-19 21:09:23,2018-07-19 21:09:23,37.79.48.130,Telnet,1
2018-07-19 20:05:27,2018-07-19 20:05:27,69.80.44.50,Unclassified,1
2018-07-20 04:27:36,2018-07-20 04:27:36,1.52.10.31,MS-DS Attack,1
2018-07-19 19:24:16,2018-07-19 19:24:16,39.43.116.84,Unclassified,1
2018-07-19 18:31:41,2018-07-19 18:31:41,5.27.1.19,Unclassified,1
2018-07-19 18:47:35,2018-07-19 18:47:35,2.69.185.180,Unclassified,1
2018-07-19 22:57:01,2018-07-19 22:57:01,36.25.163.208,MS-SQL Attack,1
2018-07-19 22:50:46,2018-07-19 22:50:46,79.143.119.101,Telnet,1
2018-07-19 18:46:01,2018-07-19 18:46:01,78.171.55.140,Telnet,1
2018-07-19 22:40:26,2018-07-19 22:40:26,5.200.68.81,Telnet,1
2018-07-19 21:59:28,2018-07-19 21:59:28,61.166.47.99,Telnet,1
2018-07-19 22:26:55,2018-07-19 22:26:55,5.27.6.71,Unclassified,1
2018-07-20 01:07:37,2018-07-20 01:07:37,150.164.192.88,MS-DS Attack,1
2018-07-19 22:23:02,2018-07-19 22:23:02,89.233.209.52,Unclassified,1
2018-07-19 20:07:10,2018-07-19 20:07:10,221.215.176.147,Telnet,1
2018-07-19 18:13:05,2018-07-19 18:13:05,5.27.6.240,Unclassified,1
2018-07-19 21:23:32,2018-07-19 21:23:32,82.134.48.102,Proxy Scan,1
2018-07-19 20:33:07,2018-07-19 20:33:07,222.140.146.173,Telnet,1
2018-07-19 19:22:03,2018-07-19 19:22:03,89.20.245.204,SSH Brute Force,1
2018-07-19 21:17:23,2018-07-19 21:17:23,60.176.161.213,Unclassified,1
2018-07-20 02:12:48,2018-07-20 02:12:48,1.47.97.147,MS-DS Attack,1
2018-07-19 18:54:53,2018-07-19 18:54:53,81.158.218.70,Telnet,1
2018-07-19 21:39:15,2018-07-19 21:39:15,5.154.55.179,Proxy Scan,1
2018-07-20 04:25:15,2018-07-20 04:25:15,14.3.12.244,MS-DS Attack,1
2018-07-20 04:04:41,2018-07-20 04:04:41,14.247.37.20,MS-DS Attack,1
